GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
8600000US48867,48867,ZCTA5 48867,11453,293,44084,1979,98.0,0.8,44093,1984,0.0,0.2,,,0.4,0.3,23625,149929,0.1,0.2,,,0.0,0.2,,,0.3,0.3,46324,46055,1.1,0.7,28036,62073,2.0,0.9,36500,24910,96.4,1.1,44313,2055,3.8,1.1,17176,9111,31.4,2.0,44090,3269,40.6,1.9,57125,5052,24.2,1.7,32904,2062,7951,293,50256,3223,44.3,2.4,45743,3020,55.7,2.4,53742,2936,67.4,2.8,63192,3365,21.9,2.6,26290,4913,10.7,2.1,30057,12615,3502,346,25521,2391,53.6,5.1,21875,1577,48.5,5.1,20982,1859,5.1,2.1,55313,18513,46.4,5.1,33581,6185,39.3,5.1,27917,7310,7.1,2.4,40536,9981,29.4,,,,27.3,,,,30.8,,,
8600000US48870,48870,ZCTA5 48870,51,28,44531,39799,100.0,36.2,44531,39799,0.0,36.2,,,0.0,36.2,,,0.0,36.2,,,0.0,36.2,,,0.0,36.2,,,0.0,36.2,,,0.0,36.2,,,100.0,36.2,44531,39799,0.0,36.2,,,66.7,30.0,14444,54982,33.3,30.0,57321,24089,0.0,36.2,,,42,26,40714,46675,61.9,40.7,13333,22959,38.1,40.7,56250,35388,40.5,39.9,14861,117046,16.7,24.9,,,42.9,41.2,9750,65731,9,10,55893,1617,100.0,86.7,55893,1617,100.0,86.7,55893,1617,0.0,86.7,,,0.0,86.7,,,0.0,86.7,,,0.0,86.7,,,15.7,,,,19.0,,,,0.0,,,
8600000US48871,48871,ZCTA5 48871,675,66,55481,12692,99.3,1.1,55962,13197,0.0,3.6,,,0.0,3.6,,,0.0,3.6,,,0.0,3.6,,,0.7,1.1,,,0.0,3.6,,,4.3,3.8,175592,195182,95.7,3.8,54286,13450,0.0,3.6,,,36.0,6.8,68021,18075,41.2,5.9,67500,10058,22.8,5.1,34688,12731,531,59,68125,6949,35.8,9.1,57083,24249,64.2,9.1,70417,13459,92.5,3.1,69034,5052,3.8,2.2,23750,9284,3.8,2.6,86000,45841,144,42,27813,5145,66.0,12.4,19205,8024,58.3,12.2,18636,8143,7.6,6.8,44063,145210,34.0,12.4,53194,14440,22.2,10.4,43333,9250,11.8,8.8,80625,97043,21.6,,,,22.8,,,,17.4,,,
8600000US48872,48872,ZCTA5 48872,2933,174,52366,7036,98.2,1.3,52669,7055,0.0,0.8,,,0.5,0.6,36250,85943,0.0,0.8,,,0.4,0.5,,,0.0,0.8,,,0.9,1.0,22232,120256,0.4,0.5,183472,12066,97.9,1.3,52411,7080,3.5,2.4,40000,46631,33.8,3.9,62702,12433,42.8,4.5,62813,7543,20.0,3.1,27250,9052,2097,180,63257,4572,42.1,4.3,62813,12689,57.9,4.3,63638,8991,82.5,4.3,69177,4995,11.1,3.8,25074,20957,6.4,3.6,22083,18878,836,156,22612,6454,51.8,10.1,14235,6135,42.6,10.1,13396,2417,9.2,5.5,27656,29171,48.2,10.1,29196,9756,40.3,11.1,26042,11077,7.9,5.3,62321,17709,32.6,,,,33.3,,,,30.6,,,
8600000US48873,48873,ZCTA5 48873,642,78,56607,7277,97.8,3.1,57625,7579,0.0,3.8,,,0.3,0.6,,,0.0,3.8,,,0.0,3.8,,,1.7,3.0,,,0.2,0.3,,,1.7,3.0,,,97.8,3.1,57625,7579,2.3,2.8,29063,7626,30.5,8.3,62125,9912,48.4,9.4,62699,7459,18.7,6.7,38417,7072,476,89,61019,5393,39.7,9.6,61420,5310,60.3,9.6,57232,14264,87.2,6.6,62537,4522,8.0,5.2,47708,27347,4.8,5.1,27396,90888,166,49,24375,31796,45.8,16.2,13750,18734,45.8,16.2,13750,18734,0.0,13.9,,,54.2,16.2,53036,34263,40.4,15.9,22083,37698,13.9,12.4,74554,2355,30.1,,,,27.3,,,,38.0,,,
8600000US48874,48874,ZCTA5 48874,93,46,47917,25035,100.0,23.3,47917,25035,0.0,23.3,,,0.0,23.3,,,0.0,23.3,,,0.0,23.3,,,0.0,23.3,,,0.0,23.3,,,0.0,23.3,,,100.0,23.3,47917,25035,0.0,23.3,,,67.7,35.8,48371,22653,25.8,33.5,33971,20657,6.5,7.7,65625,79415,74,40,48636,14985,24.3,22.9,61250,26368,75.7,22.9,48182,21904,90.5,13.2,48598,15502,9.5,13.2,65313,101470,0.0,28.0,,,19,25,21103,744,10.5,35.6,,,10.5,35.6,,,0.0,59.7,,,89.5,35.6,,,89.5,35.6,,,0.0,59.7,,,9.7,,,,9.5,,,,10.5,,,
8600000US48875,48875,ZCTA5 48875,3775,170,58503,3956,97.3,2.3,59375,3709,0.0,0.7,,,0.5,0.6,64375,39174,0.4,0.5,18958,15511,0.0,0.7,,,0.0,0.7,,,1.8,2.3,16288,145,0.7,0.7,41364,19210,96.6,2.5,59714,3675,3.1,1.6,31500,11603,35.5,3.2,65850,12659,39.8,3.2,68804,7844,21.6,2.4,34792,4706,2791,141,68935,7547,50.1,4.2,73239,10468,49.9,4.2,66500,7183,79.5,4.2,80296,4032,14.4,3.6,38381,11647,6.1,2.4,29911,12576,984,165,26429,6653,52.8,8.1,21411,1384,47.0,7.8,21351,1808,5.9,4.7,21574,32004,47.2,8.1,36167,5872,42.4,8.2,33603,7769,4.8,2.7,55875,18992,25.0,,,,22.9,,,,28.0,,,
8600000US48876,48876,ZCTA5 48876,1607,117,53872,6800,96.0,2.3,53750,6559,1.4,1.6,11797,46057,0.4,0.5,,,0.7,1.1,,,0.0,1.5,,,0.4,0.6,,,1.0,1.0,128000,202418,3.2,2.5,54115,2003,93.3,3.1,53750,9457,3.2,2.4,42813,46391,39.5,5.2,63029,11506,45.9,4.8,59185,7380,11.4,2.9,31042,6349,1109,97,68147,11189,39.3,6.3,64453,8133,60.7,6.3,76042,11203,79.0,7.1,79265,3408,17.0,6.4,33750,24466,4.0,3.5,58333,17018,498,110,35758,5616,44.2,12.1,24125,2624,40.8,12.4,23594,2212,3.4,3.0,43750,51043,55.8,12.1,41905,6229,48.6,11.5,39286,10237,7.2,6.3,42143,38535,20.8,,,,17.9,,,,27.3,,,
8600000US48877,48877,ZCTA5 48877,949,95,35169,3639,99.2,0.9,34923,3588,0.4,0.7,,,0.0,2.6,,,0.0,2.6,,,0.0,2.6,,,0.0,2.6,,,0.4,0.7,39167,8370,3.7,2.6,29135,6821,95.5,2.8,35338,3769,3.9,2.4,20893,3623,33.9,8.7,34107,5472,44.0,8.2,42500,7788,18.1,4.1,27083,11467,725,84,39391,4163,39.0,8.9,31397,9193,61.0,8.9,42083,6873,74.9,7.1,42227,13433,14.6,6.9,17976,3504,10.5,5.9,45192,15064,224,58,19756,2851,43.8,15.0,19310,4158,32.1,14.9,18707,1203,11.6,9.0,27500,15050,56.3,15.0,21111,7562,38.8,11.8,18854,5615,17.4,11.2,43558,17245,28.0,,,,29.5,,,,23.2,,,
8600000US48878,48878,ZCTA5 48878,584,61,38333,9930,95.4,3.0,37375,10558,0.2,0.5,,,3.1,2.3,92500,131014,0.0,4.2,,,0.0,4.2,,,1.2,1.9,,,0.2,0.5,,,1.2,1.9,,,95.4,3.0,37375,10558,9.2,4.9,6250,6941,33.7,5.4,44028,11005,37.8,6.1,55250,10267,19.2,4.4,33214,5534,409,52,53036,6198,44.5,6.2,55417,11996,55.5,6.2,51607,7618,79.0,5.9,57159,6384,13.7,5.0,28750,6554,7.3,3.7,77500,28348,175,36,23125,4134,62.3,12.0,25365,4352,56.6,12.5,25885,1749,5.7,8.3,,,37.7,12.0,12143,18887,37.1,11.9,11964,15847,0.6,2.2,,,22.4,,,,24.9,,,,16.6,,,
