treat,vs_12_update,vg_12_update,yearssincereg,age,hhinc,female,asian,black,latino,mideastern,nativeamer,d_miss_race,d_miss_age,d_miss_hhinc,d_miss_gender,township_id,milwaukee
0,1,1,.23271732,-999,-999,1,0,1,0,0,0,0,1,1,0,87,1
1,0,0,2.1683779,-999,24,1,0,1,0,0,0,0,1,0,0,122,0
0,1,1,4.019165,-999,19,-999,0,1,0,0,0,0,1,0,1,87,1
1,0,0,3.7289529,-999,16,0,0,1,0,0,0,0,1,0,0,87,1
0,0,0,5.4784393,85,55,1,0,0,0,0,0,0,0,0,0,796,0
1,1,1,.17248461,22,-999,1,1,0,0,0,0,0,0,1,0,155,0
1,0,0,1.5906913,71,36,0,0,0,0,1,0,0,0,0,0,125,0
1,0,0,.28199863,61,29,1,0,0,0,0,0,0,0,0,0,11,0
1,0,0,3.5838466,64,44,0,0,0,1,0,0,0,0,0,0,154,0
0,0,0,.15605749,-999,38,1,0,0,0,0,0,0,1,0,0,79,0
1,0,0,.27926078,68,50,1,0,0,0,0,0,0,0,0,0,617,0
0,1,0,1.6208076,67,39,1,0,0,0,0,0,0,0,0,0,136,0
1,0,0,.17248461,33,43,1,0,0,0,0,0,0,0,0,0,7,0
1,0,0,3.5865846,-999,51,-999,0,0,0,0,1,0,1,0,1,177,0
1,0,0,.8350445,-999,32,1,0,0,0,0,0,0,1,0,0,127,0
1,1,1,4.5804243,47,63,1,0,0,0,0,0,0,0,0,0,143,0
0,1,0,.19438741,-999,-999,1,1,0,0,0,0,0,1,1,0,617,0
0,0,1,.17248461,-999,31,0,0,1,0,0,0,0,1,0,0,64,0
0,1,0,3.671458,57,18,0,0,1,0,0,0,0,0,0,0,122,0
0,1,1,3.5865846,48,31,1,0,0,1,0,0,0,0,0,0,122,0
1,0,0,3.5865846,-999,35,1,0,0,0,0,0,0,1,0,0,4,0
1,0,1,.27652293,62,37,1,0,0,0,0,0,0,0,0,0,15,0
0,0,0,3.8329911,50,33,0,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.5838466,20,34,0,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.6440794,-999,38,0,0,1,0,0,0,0,1,0,0,87,1
1,0,0,3.5838466,67,33,0,0,1,0,0,0,0,0,0,0,87,1
0,0,0,3.9260781,-999,-999,0,0,1,0,0,0,0,1,1,0,87,1
1,0,0,.17248461,64,75,1,0,0,0,0,0,0,0,0,0,152,0
0,0,0,.34496921,-999,-999,0,0,1,0,0,0,0,1,1,0,87,1
0,0,0,4.2929502,-999,16,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,4.2929502,-999,27,0,0,1,0,0,0,0,1,0,0,87,1
0,0,0,3.5838466,-999,33,1,0,1,0,0,0,0,1,0,0,87,1
0,0,0,3.7344284,-999,28,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,4.3915129,53,28,1,0,0,0,0,0,0,0,0,0,87,1
1,0,0,3.8056126,-999,32,1,0,0,0,0,0,0,1,0,0,87,1
0,1,1,.59137577,-999,-999,-999,0,1,0,0,0,0,1,1,1,87,1
0,0,0,.60780287,-999,-999,1,0,1,0,0,0,0,1,1,0,87,1
1,1,1,.17248461,-999,17,0,0,1,0,0,0,0,1,0,0,87,1
0,0,0,3.6960986,-999,34,0,0,1,0,0,0,0,1,0,0,87,1
1,0,0,5.097878,-999,23,1,0,0,0,0,0,0,1,0,0,111,0
0,0,0,3.4469543,-999,53,1,0,0,0,1,0,0,1,0,0,843,0
1,1,1,.17248461,-999,30,1,0,0,0,0,0,0,1,0,0,218,0
1,0,0,3.7207391,71,32,1,0,0,0,0,0,0,0,0,0,199,0
1,0,1,3.6167009,-999,47,1,0,0,0,0,0,0,1,0,0,21,0
1,0,0,5.2867899,-999,59,1,0,0,0,0,0,0,1,0,0,12,0
1,1,1,.23271732,56,48,0,0,0,1,0,0,0,0,0,0,670,0
0,1,1,.21355236,-999,-999,0,0,0,1,0,0,0,1,1,0,4,0
1,0,1,.23271732,-999,38,0,0,1,0,0,0,0,1,0,0,87,1
0,0,0,3.6386037,-999,51,1,0,0,0,0,0,0,1,0,0,753,0
0,0,0,4.1697469,-999,20,1,0,0,0,0,0,0,1,0,0,7,0
0,0,0,3.6386037,-999,17,1,0,0,1,0,0,0,1,0,0,74,0
1,0,1,3.7919233,59,61,1,0,0,0,1,0,0,0,0,0,12,0
0,0,0,3.6331279,-999,70,-999,-999,-999,-999,-999,-999,1,1,0,1,74,0
0,1,1,1.6454483,43,18,1,0,0,0,0,0,0,0,0,0,39,0
1,1,1,.17248461,39,55,1,0,0,0,0,0,0,0,0,0,19,0
0,0,1,2.6036961,40,18,0,0,1,0,0,0,0,0,0,0,87,1
0,0,0,3.797399,-999,38,1,0,0,0,0,0,0,1,0,0,87,1
1,0,0,4.2464066,25,36,1,0,0,0,0,0,0,0,0,0,120,0
1,1,1,1.6481862,-999,17,1,0,1,0,0,0,0,1,0,0,87,1
0,0,1,3.671458,50,43,1,0,0,0,0,0,0,0,0,0,807,0
1,0,0,4.3504448,-999,38,1,0,0,0,0,0,0,1,0,0,544,0
1,0,1,2.5626283,65,37,1,0,0,0,0,0,0,0,0,0,313,0
0,1,1,.17248461,-999,-999,0,0,0,1,0,0,0,1,1,0,865,0
0,0,0,2.3874059,-999,58,-999,0,0,0,1,0,0,1,0,1,64,0
0,0,0,3.8329911,55,23,0,0,1,0,0,0,0,0,0,0,64,0
1,1,1,.44079399,-999,-999,0,0,0,1,0,0,0,1,1,0,705,0
0,1,1,4.2299795,67,46,1,0,0,0,0,0,0,0,0,0,328,0
0,1,1,.83778232,25,68,1,0,0,0,0,0,0,0,0,0,64,0
0,1,1,.17248461,39,62,1,0,0,0,0,0,0,0,0,0,338,0
0,1,0,.50102669,31,-999,1,0,0,1,0,0,0,0,1,0,43,0
0,0,0,1.6673511,70,53,1,0,0,0,0,0,0,0,0,0,34,0
0,0,0,2.310746,-999,45,1,0,0,0,0,0,0,1,0,0,224,0
1,1,1,3.8412046,-999,45,1,0,1,0,0,0,0,1,0,0,87,1
1,0,1,2.677618,-999,50,-999,0,0,1,0,0,0,1,0,1,64,0
1,0,1,.99383986,-999,71,1,0,0,0,0,0,0,1,0,0,64,0
1,1,0,3.685147,43,35,1,0,0,1,0,0,0,0,0,0,13,0
1,0,0,3.7070498,-999,17,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,3.6358659,41,60,1,0,0,0,0,0,0,0,0,0,99,0
1,0,0,3.874059,-999,41,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,.43531826,51,-999,1,0,1,0,0,0,0,0,1,0,526,0
0,0,1,.18343601,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1,1,887,0
0,0,0,3.7234771,-999,27,1,0,1,0,0,0,0,1,0,0,87,1
1,0,1,.19164956,-999,-999,0,0,0,1,0,0,0,1,1,0,64,0
1,0,1,.78028744,-999,49,1,0,0,1,0,0,0,1,0,0,199,0
0,1,1,3.9260781,-999,46,1,0,0,0,0,1,0,1,0,0,481,0
1,0,1,3.9644079,41,19,1,0,1,0,0,0,0,0,0,0,87,1
0,0,0,4.2327175,-999,20,0,0,1,0,0,0,0,1,0,0,87,1
1,0,1,1.3963039,28,40,1,0,0,0,1,0,0,0,0,0,87,1
1,0,1,3.7919233,-999,13,1,0,1,0,0,0,0,1,0,0,87,1
1,1,1,3.6632442,-999,17,1,0,1,0,0,0,0,1,0,0,87,1
1,1,1,.19164956,42,34,1,0,1,0,0,0,0,0,0,0,87,1
0,0,1,4.0438056,-999,35,0,0,1,0,0,0,0,1,0,0,87,1
0,0,1,.16974674,-999,-999,-999,0,1,0,0,0,0,1,1,1,87,1
0,0,1,3.7262149,59,41,1,0,0,1,0,0,0,0,0,0,119,0
1,0,0,3.8795345,-999,27,0,0,1,0,0,0,0,1,0,0,87,1
0,0,1,.12594114,-999,33,-999,0,1,0,0,0,0,1,0,1,12,0
0,0,0,.17248461,25,39,1,0,0,1,0,0,0,0,0,0,12,0
0,1,1,3.9589322,-999,30,1,0,1,0,0,0,0,1,0,0,87,1
0,1,1,3.887748,-999,39,1,0,1,0,0,0,0,1,0,0,87,1
1,1,1,4.1916494,36,47,1,0,0,0,0,0,0,0,0,0,407,0
1,0,0,3.8275154,51,-999,0,0,1,0,0,0,0,0,1,0,87,1
0,0,0,4.2327175,58,45,0,0,1,0,0,0,0,0,0,0,87,1
0,0,0,5.2402463,-999,23,1,1,0,0,0,0,0,1,0,0,74,0
0,0,0,.53661877,65,17,1,0,0,0,0,0,0,0,0,0,125,0
0,1,1,.65434635,67,47,1,0,0,0,0,0,0,0,0,0,376,0
1,0,0,3.5865846,53,82,1,0,0,0,0,0,0,0,0,0,830,0
1,0,0,4.6351814,-999,45,1,0,0,0,0,0,0,1,0,0,54,0
0,1,1,.17248461,71,58,1,0,0,0,0,0,0,0,0,0,789,0
1,0,1,1.3415469,74,47,1,0,0,0,0,0,0,0,0,0,118,0
0,0,0,4.1971254,70,73,1,0,0,0,0,0,0,0,0,0,105,0
0,0,1,4.3039017,70,54,1,0,0,0,0,0,0,0,0,0,118,0
1,0,0,3.5947981,26,39,1,1,0,0,0,0,0,0,0,0,132,0
0,1,1,3.6741958,49,39,1,0,0,0,0,0,0,0,0,0,842,0
1,0,0,3.6796715,-999,61,1,0,0,0,0,0,0,1,0,0,165,0
1,1,1,.17248461,50,62,1,0,0,0,0,0,0,0,0,0,312,0
1,1,1,3.6194386,-999,48,0,1,0,0,0,0,0,1,0,0,35,0
1,1,1,3.6440794,57,61,1,0,0,0,0,0,0,0,0,0,279,0
