anysecrecytreatment,v_cong_general_10,v_pres_primary_12,v_cong_primary_12,v_pres_general_12,turnoutindex_12,badaddress,town1_block,town2_block,town3_block,town4_block,town5_block,town6_block,i_grp_addr_1,i_grp_addr_2,i_grp_addr_3,i_grp_addr_4,dem,rep,female,male,age_md,age_sq_md,sosplacebotreatments
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.708066,8.3608522,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.708067,27.240852,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.708066,4.4408522,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.708065,52.910851,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,34.708065,35.640854,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40.708065,44.760853,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43.708065,49.590851,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44.708065,51.240852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42.708065,47.960854,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41.708065,46.350853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21.708067,18.350853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.708065,52.910851,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,43.708065,49.590851,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,35.708065,37.110851,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,36.708065,38.600853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.708065,37.110851,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.708065,43.190853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44.708065,51.240852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,33.708065,34.190853,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.708067,24.600853,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,31.708067,31.350853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,19.708067,15.990851,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.708067,28.590855,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,13.708066,9.3908529,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,16.708067,12.600852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.708067,22.040852,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13.708066,9.3908529,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13.708066,9.3908529,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,17.708067,13.710853,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25.708067,23.310852,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,12.708066,8.3608522,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,22.708067,19.560852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11.708066,7.350852,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.708066,8.3608522,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,17.708067,13.710853,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.708066,11.510852,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,20.708067,17.160854,0
