"treat","vs_12_update","vg_12_update","yearssincereg","post08reg","age_corrected","d_miss_age","hhinc_corrected","d_miss_hhinc","female","d_miss_gender","asian","black","latino","mideastern","nativeamer","d_miss_race","township_id","milwaukee"
0,0,1,0.358658462762833,1,0,1,0,1,1,0,0,0,1,0,0,0,60,0
0,0,0,2.77070498466492,1,0,1,17,0,1,0,0,0,0,0,0,0,74,0
0,0,0,0.577686488628387,1,0,1,38,0,0,0,0,0,1,0,0,0,87,1
1,1,1,0.279260784387589,1,31,0,58,0,1,0,0,0,0,0,0,0,312,0
1,1,0,0.438056111335754,1,32,0,33,0,1,0,0,0,0,0,0,0,74,0
1,1,1,0.361396312713623,1,56,0,0,1,0,0,1,0,0,0,0,0,705,0
1,1,1,0.695414125919342,1,0,1,0,1,1,0,0,0,0,1,0,0,74,0
0,1,1,0.23271732032299,1,0,1,0,1,1,0,0,1,0,0,0,0,87,1
1,0,0,2.16837787628174,1,0,1,24,0,1,0,0,1,0,0,0,0,122,0
0,1,1,4.0191650390625,0,0,1,19,0,0,1,0,1,0,0,0,0,87,1
1,0,0,3.72895288467407,0,0,1,16,0,0,0,0,1,0,0,0,0,87,1
0,0,0,5.47843933105469,0,85,0,55,0,1,0,0,0,0,0,0,0,796,0
1,1,1,0.17248460650444,1,22,0,0,1,1,0,1,0,0,0,0,0,155,0
1,0,0,1.59069132804871,1,71,0,36,0,0,0,0,0,0,1,0,0,125,0
1,0,0,0.281998634338379,1,61,0,29,0,1,0,0,0,0,0,0,0,11,0
1,0,0,3.58384656906128,1,64,0,44,0,0,0,0,0,1,0,0,0,154,0
0,0,0,0.156057491898537,1,0,1,38,0,1,0,0,0,0,0,0,0,79,0
1,0,0,0.279260784387589,1,68,0,50,0,1,0,0,0,0,0,0,0,617,0
0,1,0,1.62080764770508,1,67,0,39,0,1,0,0,0,0,0,0,0,136,0
1,0,0,0.17248460650444,1,33,0,43,0,1,0,0,0,0,0,0,0,7,0
1,0,0,3.58658456802368,1,0,1,51,0,0,1,0,0,0,0,1,0,177,0
1,0,0,0.835044503211975,1,0,1,32,0,1,0,0,0,0,0,0,0,127,0
1,1,1,4.58042430877686,0,47,0,63,0,1,0,0,0,0,0,0,0,143,0
0,1,0,0.194387406110764,1,0,1,0,1,1,0,1,0,0,0,0,0,617,0
0,0,1,0.17248460650444,1,0,1,31,0,0,0,0,1,0,0,0,0,64,0
0,1,0,3.67145800590515,0,57,0,18,0,0,0,0,1,0,0,0,0,122,0
0,1,1,3.58658456802368,1,48,0,31,0,1,0,0,0,1,0,0,0,122,0
1,0,0,3.58658456802368,1,0,1,35,0,1,0,0,0,0,0,0,0,4,0
1,0,1,0.276522934436798,1,62,0,37,0,1,0,0,0,0,0,0,0,15,0
