GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
8600000US49093,49093,ZCTA5 49093,7000,284,55543,3302,74.0,2.6,54985,3446,21.2,2.1,16751,8948,34.3,2.1,16232,993,6.3,1.5,7893,863,3.9,1.4,2228,1055,20.9,2.5,15547,1570,4691,216,63273,3696,18.5,3.0,35916,6673,37.6,3.8,51920,5302,29.0,3.6,78463,4785,5.7,2.0,72494,14516,8.1,2.0,115187,29251,1.1,0.8,81445,8046,18503,311,22072,1321,88.2,1.2,23315,1509,8.1,0.8,13300,4043,0.5,0.4,31114,17635,0.9,0.5,13911,7979,0.0,0.1,,,0.5,0.3,18008,16293,1.8,0.8,3782,2285,3.3,1.2,16778,7917,85.7,1.6,23443,1503,20.6,,,,22.5,,,,16.4,,,
8600000US49094,49094,ZCTA5 49094,1593,106,46096,3138,75.7,3.9,43988,4317,20.6,3.9,6002,1881,35.8,4.7,16336,915,4.0,1.7,9533,2171,5.1,2.0,2738,730,21.6,3.2,16454,3184,1112,82,54230,3340,17.4,3.9,31898,6301,35.3,6.1,43884,3955,31.9,5.6,72059,5941,6.4,3.1,45927,12613,5.8,2.6,81989,11034,3.1,2.4,78006,34739,4247,191,17620,1243,95.8,2.3,17859,1181,0.5,1.5,20852,8723,0.7,0.7,9290,3588,1.3,1.0,18864,24408,0.0,0.6,,,0.0,0.6,,,1.8,1.3,6080,4863,0.5,0.6,,,95.4,2.5,17929,1190,20.5,,,,17.1,,,,13.6,,,
8600000US49095,49095,ZCTA5 49095,734,96,58373,7551,72.2,6.9,60774,8749,26.2,6.5,8751,4537,41.7,7.3,17828,2469,5.6,3.3,9407,1958,3.4,1.7,2552,844,20.0,6.0,15881,5295,545,101,68120,8695,18.5,7.2,39365,9122,40.4,8.6,60208,11885,31.0,7.2,92082,19443,2.4,2.5,42377,4968,7.7,6.4,90264,15477,0.0,4.5,,,1832,295,23723,2945,81.5,5.6,25726,3532,11.9,4.5,9819,3139,0.2,0.4,,,2.7,3.0,18284,2980,0.0,1.4,,,0.0,1.4,,,3.7,2.2,28643,15328,0.8,1.1,13407,1696,80.7,5.7,25843,3552,16.8,,,,17.1,,,,11.1,,,
8600000US49096,49096,ZCTA5 49096,1207,89,60566,3562,73.8,4.1,59498,4808,24.4,5.4,4822,2574,33.1,4.7,18768,1230,2.6,1.6,8726,2186,3.7,2.7,4193,1920,31.5,4.5,17956,2812,886,74,66619,3984,20.4,4.4,39446,4289,24.4,4.4,46299,6535,34.0,6.2,79925,6341,8.9,4.3,81492,12617,9.7,3.4,106215,17574,2.6,2.4,98017,20955,3155,335,23352,2022,97.4,1.8,23524,2092,0.0,0.8,,,0.1,0.1,,,0.1,0.2,,,0.0,0.8,,,0.4,0.6,,,2.0,1.4,17678,5422,2.2,1.9,17966,7906,95.8,2.6,23602,2136,25.3,,,,28.0,,,,19.5,,,
8600000US49097,49097,ZCTA5 49097,3943,165,74764,11035,75.8,3.3,73974,8351,27.5,3.9,22215,18213,34.3,3.1,18634,1728,2.5,1.1,11819,3038,1.4,0.8,9953,7226,23.9,3.2,16166,2806,2967,156,85773,14338,18.5,3.3,44730,7514,24.9,4.6,59353,9601,38.5,4.0,114115,37327,4.5,1.8,65713,19442,12.6,2.9,119947,20430,1.0,0.8,72210,29388,9943,349,29836,4320,97.2,1.4,28899,2719,0.5,0.5,10814,6542,0.3,0.3,15967,11870,0.1,0.2,,,0.1,0.2,,,0.0,0.1,,,1.8,1.2,85678,109599,1.3,1.2,13675,4127,96.0,1.7,29098,2757,21.8,,,,21.3,,,,16.0,,,
8600000US49098,49098,ZCTA5 49098,2191,193,49245,4389,75.7,4.3,50072,4845,19.5,4.4,8538,3209,31.7,4.5,16974,1538,2.4,1.6,8842,3953,3.7,2.0,3887,1593,13.6,3.6,14572,3799,1534,143,53873,5700,17.1,6.7,24235,8212,31.0,5.8,44781,8057,28.7,6.5,65592,9051,8.5,4.5,73431,29840,11.1,4.7,85181,15835,3.5,3.0,36098,28348,6306,454,17511,1731,80.7,6.0,20562,2052,2.0,2.0,3974,5211,0.4,0.3,,,0.6,0.6,24833,11220,0.0,0.4,,,16.1,6.2,4320,1293,0.3,0.4,,,19.1,6.4,4419,1272,77.7,6.2,21161,2110,18.3,,,,22.6,,,,12.3,,,
8600000US49099,49099,ZCTA5 49099,2134,163,57123,5258,77.4,3.9,55754,4493,19.4,3.5,15124,11022,30.7,4.1,17906,1763,4.8,1.8,7873,1802,3.6,1.5,1833,1159,15.7,3.1,17160,3583,1595,147,61937,5170,18.0,3.9,35083,5172,33.4,5.5,51747,10926,33.8,5.5,81707,9102,4.6,2.3,45338,8699,8.2,2.6,87964,12459,1.9,1.4,71629,16366,5814,526,21817,2466,96.7,1.5,22133,2530,0.2,0.2,21270,14558,1.4,0.8,17788,5879,0.3,0.3,,,0.0,0.4,,,0.1,0.3,,,1.3,0.9,6962,5470,1.8,1.3,9434,6365,95.4,1.9,22292,2559,19.1,,,,16.8,,,,11.7,,,
8600000US49101,49101,ZCTA5 49101,1208,74,57742,4569,82.8,4.7,54946,5501,29.6,5.6,8314,4776,31.3,6.1,17765,1312,3.6,2.4,9232,1751,3.1,2.4,5953,4558,18.0,4.9,14206,3472,800,71,66456,6645,12.3,4.8,,,27.9,7.6,,,37.8,8.9,,,13.9,6.6,,,6.6,3.1,,,1.6,1.9,,,3004,162,24100,2107,95.7,2.3,24712,2278,0.7,0.7,13125,17922,0.2,0.3,,,0.1,0.3,,,0.0,0.8,,,1.5,1.5,12533,6118,1.8,1.3,,,3.3,1.9,21719,12567,94.3,2.4,24568,2347,18.9,,,,19.3,,,,15.2,,,
8600000US49102,49102,ZCTA5 49102,469,88,59751,8599,86.6,7.3,55973,8881,19.8,9.4,9062,8691,30.1,9.1,21010,3893,2.3,3.6,14455,15,4.9,5.5,1630,1603,13.0,8.6,12052,5988,378,85,68749,9415,6.6,5.7,46416,33221,40.2,11.9,68145,11753,39.9,12.2,64946,12735,7.1,6.5,98430,42864,6.1,5.5,87135,33187,0.0,6.4,,,1455,247,20227,2919,91.9,6.1,21269,3118,4.9,4.6,12901,15857,0.3,0.6,,,0.1,0.4,,,0.0,1.7,,,0.3,0.6,,,2.5,2.9,,,1.1,1.3,3494,10090,91.9,6.1,21269,3118,22.4,,,,25.1,,,,18.9,,,
8600000US49103,49103,ZCTA5 49103,4049,605,59248,6351,77.7,3.9,57959,6346,30.3,3.7,9913,4719,29.6,2.9,19243,1322,4.2,1.6,12779,5431,2.8,1.5,1830,444,21.0,2.5,17805,2667,2929,457,72157,7843,14.9,3.3,38534,7870,31.1,4.7,57834,7553,35.6,4.8,72212,8242,7.3,2.6,140718,83897,9.0,2.5,123708,21346,1.9,1.2,60747,22610,11239,336,22747,2542,65.5,5.1,27784,3104,19.7,4.2,14663,2943,0.4,0.6,,,8.9,2.1,13171,3608,0.0,0.1,,,3.4,2.8,12403,2710,2.1,1.0,2279,3284,6.9,3.2,9220,2590,62.1,5.7,28958,3201,21.2,,,,21.4,,,,15.4,,,
