GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
8600000US48021,48021,ZCTA5 48021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48022,48022,ZCTA5 48022,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,$N,$N,,,$N,$N,,,$-,$**,,,$-,$**,,,$N,$N,,,,,,,$N,$N,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48023,48023,ZCTA5 48023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$-,$**,,,$N,$N,,,,,,,$N,$N,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48025,48025,ZCTA5 48025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48026,48026,ZCTA5 48026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,,,,,$-,$**,,,,,,,$-,$**,,,$N,$N,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48027,48027,ZCTA5 48027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$-,$**,,,$N,$N,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48028,48028,ZCTA5 48028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,$-,$**,,,$N,$N,,,$-,$**,,,$-,$**,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48030,48030,ZCTA5 48030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48032,48032,ZCTA5 48032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,$N,$N,,,$N,$N,,,$-,$**,,,$-,$**,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48033,48033,ZCTA5 48033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48034,48034,ZCTA5 48034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,,,,,$-,$**,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48035,48035,ZCTA5 48035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48036,48036,ZCTA5 48036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48038,48038,ZCTA5 48038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
